Min_tot,Poblacion,area_m2,Densidad_ha
23.95,1468,236337.3,62.2
31.27,1560,374760.6,41.6
4.53,1867,220963.3,169.4
12.23,1737,281817.5,124.8
1.47,1944,262071.8,148
8.8,791,173809.7,45.5
13.98,691,213361.7,32.4
14.98,2384,227970.5,325.3
14.58,1920,226384.5,188.7
20.18,1215,114089.8,106.6
20.4,2803,256685.5,327.8
14.97,1953,247889.2,156.9
22.83,1086,104597.1,103.4
17.92,1453,342287.1,42.5
19.7,1289,197482.5,65.4
8.67,1133,199798.3,121.8
5.83,905,137821.7,65.6
6.32,1106,172528.8,63.9
12.15,1288,188570.5,68.1
10.58,594,108782.8,54.5
11.15,449,115970.9,38.7
0.5,1733,236645.5,146.3
9.58,2429,281784.7,260.2
4.97,1704,236602.8,145.6
9.43,913,134127.5,68.1
6.8,1089,159984.9,68.1
7.35,1249,188281.4,133.9
8.03,1760,251519.4,141.7
12.48,1728,145545,389.5
4.48,1513,178323.7,170.3
4.8,1709,203731.4,168.2
4.65,742,116396.2,64
4.88,1895,249675.4,152.2
3.33,1503,164493.6,186
3.12,826,97236.8,85.2
7.63,1649,163168.9,200.2
3.43,1209,127226.3,95.2
22.5,983,91759.5,106.8
10.15,3241,124424.5,2454
8.57,821,58243.7,308.4
17.33,731,1737121.6,4.2
14.4,703,1892990.7,3.7
6.35,393,91018.7,43.2
7.85,550,147939.6,37.2
3.77,6495,213187.2,3007.8
3.42,457,46346.5,99.3
10.3,5562,201958.3,2811.3
13.65,549,20246.2,274.5
11.5,388,51794.7,74.6
16.12,483,54001.2,89.4
18.82,486,113300.2,43
12.35,1930,196161.7,200.6
16.45,1497,235023.2,129.4
7.35,949,136561.2,69.3
9.63,2280,234273.4,299.8
15.42,1742,188689.5,187.3
14.57,1492,151132.3,209
10.92,616,60931.5,101
15.68,1014,112100.1,90.5
2.65,1123,162444.4,141.1
5.55,802,131280.1,61.2
5.68,1558,150724.8,205.5
4.02,2241,295937.5,229.8
2.58,923,113829.9,81
1.73,743,117280.1,63.5
10.6,705,198329.9,35.6
12.52,956,239183.9,40
3.78,1540,203835.4,150.7
